Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
toto;1;-48.75;84.79;-9.71;-53.05;73.17;30.06;S14.81;S-3.72;S20.62;S0.75;S12.35;S124.26;S65.54;-10.42;-98.42;7.52;-68.62;-74.93;-57.62;S30.46;S6.29;S-21.14;S12.88;S10.68;S123.65;S63.6;S-0.4;S46.37;S-3.03
toto;1;-32.04;80.22;-43.12;-85.32;73.17;30.06;S14.52;S-3.14;S20.97;S0.66;S13.14;S124.44;S65.54;-8.66;-96.04;15.96;-87.16;-74.63;-56.74;S32.48;S6.29;S-20.97;S13.76;S11.3;S123.74;S63.6;S-0.31;S46.37;S-3.12
toto;1;-6.02;86.99;-81.19;-80.04;71.99;29.77;S13.93;S-3.14;S20.26;S-1.27;S12.88;S124.26;S64.92;-2.86;-86.73;1.01;-102.64;-74.93;-20.97;S-4.88;S2.07;S-20.26;S12.79;S10.95;S123.74;S63.6;S0.4;S49.98;S1.8
toto;1;-5.05;68.35;-79.69;-71.25;72.29;29.47;S13.05;S-3.43;S20.97;S-0.57;S14.9;S124.44;S65.63;-27.3;-80.75;2.86;-107.21;-74.34;-20.38;S-6.99;S-5.58;S-20.88;S14.81;S12.88;S123.65;S63.52;S4.97;S49.89;S-17.19
toto;1;-2.68;54.46;-63.25;-48.4;72.87;29.47;S12.46;S-3.43;S20.09;S0.92;S14.55;S124.18;S65.54;-55.69;-74.42;10.33;-110.99;-75.22;-21.55;S-6.64;S3.74;S-21.23;S14.9;S12.7;S123.38;S63.52;S2.95;S49.8;S-29.67
toto;1;0.84;34.86;-66.51;-50.15;72.29;29.47;S13.34;S-3.14;S20.97;S-1.27;S13.23;S124.35;S65.63;-64.75;-80.04;0.22;-105.27;-75.81;-21.55;S-8.4;S-0.84;S-20.0;S12.88;S11.38;S123.38;S63.52;S1.01;S48.48;S-30.73
toto;1;6.11;14.73;-57.89;-28.79;104.84;28.89;S12.17;S-3.72;S20.88;S0.57;S11.21;S123.74;S65.63;-65.89;-33.98;5.76;-102.46;-72.87;-1.03;S-9.63;S0.84;S-21.49;S11.38;S9.98;S123.12;S63.52;S2.51;S50.59;S-24.84
k ligne horiz;2;-50.77;0.57;34.68;-31.52;0.73;15.4;S14.52;S-0.21;S22.29;S0.13;S9.1;P;S65.63;-81.98;-17.8;27.21;-95.25;96.92;-3.67;S20.18;S7.25;S-21.41;S10.24;S7.69;P;S63.52;S-6.2;S41.8;S-31.6
assis sur genou;3;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;P;S65.63;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;P;S63.52;S0.0;S43.0;S-1.1
toto;3;L-81.71;L80.75;L17.36;L-65.1;L72.58;L31.23;L-0.73;L-10.47;L20.44;L3.47;L6.11;P;S65.63;L-60.53;L-71.96;L-11.12;L-91.56;L-76.1;L-67.01;L14.2;L4.53;L-18.59;L5.76;L5.49;P;S63.52;L-0.48;L41.98;L-1.8
